============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.14-s037_1
  Generated on:           Jun 02 2026  02:06:35 am
  Module:                 top_ti
  Technology libraries:   saed14rvt_tt0p8v25c 
                          saed14rvt_ss0p72v25c 
                          saed14rvt_ff0p88v25c 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                               Module                         Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------------------------------------------------------
top_ti                                                                       5591114    2862977         0      2862977    <none> (D) 
    gen_tile[543].u_tile  compute_core_ti_543                                   5327       2706         0         2706    <none> (D) 
    gen_tile[724].u_tile  compute_core_ti_724                                   5326       2706         0         2706    <none> (D) 
    gen_tile[511].u_tile  compute_core_ti_511                                   5327       2706         0         2706    <none> (D) 
    gen_tile[89].u_tile   compute_core_ti_89                                    5313       2706         0         2706    <none> (D) 
    gen_tile[354].u_tile  compute_core_ti_354                                   5326       2706         0         2706    <none> (D) 
    gen_tile[386].u_tile  compute_core_ti_386                                   5326       2706         0         2706    <none> (D) 
    gen_tile[267].u_tile  compute_core_ti_267                                   5310       2706         0         2706    <none> (D) 
    gen_tile[169].u_tile  compute_core_ti_169                                   5309       2706         0         2706    <none> (D) 
    gen_tile[906].u_tile  compute_core_ti_906                                   5323       2706         0         2706    <none> (D) 
    gen_tile[962].u_tile  compute_core_ti_962                                   5329       2706         0         2706    <none> (D) 
    gen_tile[688].u_tile  compute_core_ti_688                                   5323       2706         0         2706    <none> (D) 
    gen_tile[136].u_tile  compute_core_ti_136                                   5309       2706         0         2706    <none> (D) 
    gen_tile[629].u_tile  compute_core_ti_629                                   5326       2706         0         2706    <none> (D) 
    gen_tile[551].u_tile  compute_core_ti_551                                   5310       2706         0         2706    <none> (D) 
    gen_tile[363].u_tile  compute_core_ti_363                                   5310       2706         0         2706    <none> (D) 
    gen_tile[323].u_tile  compute_core_ti_323                                   5312       2706         0         2706    <none> (D) 
    gen_tile[461].u_tile  compute_core_ti_461                                   5311       2706         0         2706    <none> (D) 
    gen_tile[430].u_tile  compute_core_ti_430                                   5311       2706         0         2706    <none> (D) 
    gen_tile[894].u_tile  compute_core_ti_894                                   5329       2706         0         2706    <none> (D) 
    gen_tile[658].u_tile  compute_core_ti_658                                   5311       2706         0         2706    <none> (D) 
    gen_tile[459].u_tile  compute_core_ti_459                                   5311       2706         0         2706    <none> (D) 
    gen_tile[743].u_tile  compute_core_ti_743                                   5315       2706         0         2706    <none> (D) 
    gen_tile[322].u_tile  compute_core_ti_322                                   5329       2706         0         2706    <none> (D) 
    gen_tile[889].u_tile  compute_core_ti_889                                   5311       2706         0         2706    <none> (D) 
    gen_tile[5].u_tile    compute_core_ti_5                                     5315       2706         0         2706    <none> (D) 
    gen_tile[920].u_tile  compute_core_ti_920                                   5311       2706         0         2706    <none> (D) 
    gen_tile[692].u_tile  compute_core_ti_692                                   5329       2706         0         2706    <none> (D) 
    gen_tile[281].u_tile  compute_core_ti_281                                   5312       2706         0         2706    <none> (D) 
    gen_tile[594].u_tile  compute_core_ti_594                                   5309       2706         0         2706    <none> (D) 
    gen_tile[471].u_tile  compute_core_ti_471                                   5309       2706         0         2706    <none> (D) 
    gen_tile[564].u_tile  compute_core_ti_564                                   5312       2706         0         2706    <none> (D) 
    gen_tile[67].u_tile   compute_core_ti_67                                    5313       2706         0         2706    <none> (D) 
    gen_tile[869].u_tile  compute_core_ti_869                                   5309       2706         0         2706    <none> (D) 
    gen_tile[886].u_tile  compute_core_ti_886                                   5309       2706         0         2706    <none> (D) 
    gen_tile[437].u_tile  compute_core_ti_437                                   5309       2706         0         2706    <none> (D) 
    gen_tile[581].u_tile  compute_core_ti_581                                   5309       2706         0         2706    <none> (D) 
    gen_tile[22].u_tile   compute_core_ti_22                                    5325       2706         0         2706    <none> (D) 
    gen_tile[451].u_tile  compute_core_ti_451                                   5311       2706         0         2706    <none> (D) 
    gen_tile[981].u_tile  compute_core_ti_981                                   5310       2706         0         2706    <none> (D) 
    gen_tile[358].u_tile  compute_core_ti_358                                   5316       2706         0         2706    <none> (D) 
    gen_tile[973].u_tile  compute_core_ti_973                                   5310       2706         0         2706    <none> (D) 
    gen_tile[639].u_tile  compute_core_ti_639                                   5325       2706         0         2706    <none> (D) 
    gen_tile[212].u_tile  compute_core_ti_212                                   5311       2706         0         2706    <none> (D) 
    gen_tile[101].u_tile  compute_core_ti_101                                   5312       2706         0         2706    <none> (D) 
    gen_tile[538].u_tile  compute_core_ti_538                                   5311       2706         0         2706    <none> (D) 
    gen_tile[143].u_tile  compute_core_ti_143                                   5311       2706         0         2706    <none> (D) 
